"Jahr";"Geschlecht";"Bezugsland (M03 aus MigraPro)";"Migrationshintergrund M2 (aggregiert)";"Anzahl Einwohner"
"2018";"männlich";"Südeuropa (Italien, Vatikan, San Marino, Malta -  2016 ff.)";"Ausländer";732
"2018";"männlich";"Südeuropa (Griechenland, Zypern - 2016 ff.)";"Ausländer";384
"2018";"männlich";"Südeuropa: Türkei 163";"Ausländer";659
"2018";"männlich";"Südeuropa (Spanien, Portugal, Andora - 2016 ff.)";"Ausländer";715
"2018";"männlich";"Osteuropa: EU-Beitrittsländer 2004";"Ausländer";2529
"2018";"männlich";"Osteuropa: EU-Beitrittsländer 2007";"Ausländer";1459
"2018";"männlich";"Osteuropa: Teil ehem. SU, GUS";"Ausländer";1898
"2018";"männlich";"Südosteuropa (2016 ff.)";"Ausländer";731
"2018";"männlich";"Westeuropa: EU-Länder";"Ausländer";1182
"2018";"männlich";"Westeuropa: Nicht-EU-Länder";"Ausländer";104
"2018";"männlich";"Nordafrika (2016 ff.)";"Ausländer";1228
"2018";"männlich";"Mittel- und Südafrika (2016 ff.)";"Ausländer";956
"2018";"männlich";"Zentralasien (2016 ff.)";"Ausländer";158
"2018";"männlich";"Vorder- und Westasien (2016 ff.)";"Ausländer";4726
"2018";"männlich";"Südasien (2016 ff.)";"Ausländer";3171
"2018";"männlich";"Ostasien (2016 ff.)";"Ausländer";2005
"2018";"männlich";"Südostasien (2016 ff.)";"Ausländer";925
"2018";"männlich";"Nordamerika (2016 ff.)";"Ausländer";386
"2018";"männlich";"Mittel- und Südamerika (2016 ff.)";"Ausländer";710
"2018";"männlich";"Pazifikraum (2016 ff.)";"Ausländer";56
"2018";"männlich";"Sonstige und ungeklärt (2016 ff.)";"Ausländer";754
"2018";"männlich";"BRD: 000 und 020";"Deutsche ohne Migrationshintergrund";243263
"2018";"männlich";"BRD: 000 und 020";"Deutsche mit Migrationshintergrund";11515
"2018";"weiblich";"Südeuropa (Italien, Vatikan, San Marino, Malta -  2016 ff.)";"Ausländer";510
"2018";"weiblich";"Südeuropa (Griechenland, Zypern - 2016 ff.)";"Ausländer";284
"2018";"weiblich";"Südeuropa: Türkei 163";"Ausländer";408
"2018";"weiblich";"Südeuropa (Spanien, Portugal, Andora - 2016 ff.)";"Ausländer";494
"2018";"weiblich";"Osteuropa: EU-Beitrittsländer 2004";"Ausländer";2599
"2018";"weiblich";"Osteuropa: EU-Beitrittsländer 2007";"Ausländer";1010
"2018";"weiblich";"Osteuropa: Teil ehem. SU, GUS";"Ausländer";2894
"2018";"weiblich";"Südosteuropa (2016 ff.)";"Ausländer";518
"2018";"weiblich";"Westeuropa: EU-Länder";"Ausländer";801
"2018";"weiblich";"Westeuropa: Nicht-EU-Länder";"Ausländer";71
"2018";"weiblich";"Nordafrika (2016 ff.)";"Ausländer";452
"2018";"weiblich";"Mittel- und Südafrika (2016 ff.)";"Ausländer";420
"2018";"weiblich";"Zentralasien (2016 ff.)";"Ausländer";244
"2018";"weiblich";"Vorder- und Westasien (2016 ff.)";"Ausländer";2725
"2018";"weiblich";"Südasien (2016 ff.)";"Ausländer";1379
"2018";"weiblich";"Ostasien (2016 ff.)";"Ausländer";1799
"2018";"weiblich";"Südostasien (2016 ff.)";"Ausländer";1199
"2018";"weiblich";"Nordamerika (2016 ff.)";"Ausländer";317
"2018";"weiblich";"Mittel- und Südamerika (2016 ff.)";"Ausländer";613
"2018";"weiblich";"Pazifikraum (2016 ff.)";"Ausländer";39
"2018";"weiblich";"Sonstige und ungeklärt (2016 ff.)";"Ausländer";421
"2018";"weiblich";"BRD: 000 und 020";"Deutsche ohne Migrationshintergrund";249537
"2018";"weiblich";"BRD: 000 und 020";"Deutsche mit Migrationshintergrund";11661
