"Jahr";"Geschlecht";"Bezugsland (M03 aus MigraPro)";"Migrationshintergrund M2 (aggregiert)";"Anzahl Einwohner"
"2014";"männlich";"Südeuropa (Italien, Vatikan, San Marino, Malta -  2016 ff.)";"Ausländer";546
"2014";"männlich";"Südeuropa (Griechenland, Zypern - 2016 ff.)";"Ausländer";334
"2014";"männlich";"Südeuropa: Türkei 163";"Ausländer";531
"2014";"männlich";"Südeuropa (Spanien, Portugal, Andora - 2016 ff.)";"Ausländer";678
"2014";"männlich";"Osteuropa: EU-Beitrittsländer 2004";"Ausländer";1644
"2014";"männlich";"Osteuropa: EU-Beitrittsländer 2007";"Ausländer";759
"2014";"männlich";"Osteuropa: Teil ehem. SU, GUS";"Ausländer";1635
"2014";"männlich";"Südosteuropa (2016 ff.)";"Ausländer";496
"2014";"männlich";"Westeuropa: EU-Länder";"Ausländer";1060
"2014";"männlich";"Westeuropa: Nicht-EU-Länder";"Ausländer";94
"2014";"männlich";"Nordafrika (2016 ff.)";"Ausländer";697
"2014";"männlich";"Mittel- und Südafrika (2016 ff.)";"Ausländer";507
"2014";"männlich";"Zentralasien (2016 ff.)";"Ausländer";149
"2014";"männlich";"Vorder- und Westasien (2016 ff.)";"Ausländer";1153
"2014";"männlich";"Südasien (2016 ff.)";"Ausländer";1201
"2014";"männlich";"Ostasien (2016 ff.)";"Ausländer";1526
"2014";"männlich";"Südostasien (2016 ff.)";"Ausländer";923
"2014";"männlich";"Nordamerika (2016 ff.)";"Ausländer";352
"2014";"männlich";"Mittel- und Südamerika (2016 ff.)";"Ausländer";534
"2014";"männlich";"Pazifikraum (2016 ff.)";"Ausländer";49
"2014";"männlich";"Sonstige und ungeklärt (2016 ff.)";"Ausländer";125
"2014";"männlich";"BRD: 000 und 020";"Deutsche ohne Migrationshintergrund";243162
"2014";"männlich";"BRD: 000 und 020";"Deutsche mit Migrationshintergrund";9623
"2014";"weiblich";"Südeuropa (Italien, Vatikan, San Marino, Malta -  2016 ff.)";"Ausländer";347
"2014";"weiblich";"Südeuropa (Griechenland, Zypern - 2016 ff.)";"Ausländer";257
"2014";"weiblich";"Südeuropa: Türkei 163";"Ausländer";297
"2014";"weiblich";"Südeuropa (Spanien, Portugal, Andora - 2016 ff.)";"Ausländer";461
"2014";"weiblich";"Osteuropa: EU-Beitrittsländer 2004";"Ausländer";2073
"2014";"weiblich";"Osteuropa: EU-Beitrittsländer 2007";"Ausländer";628
"2014";"weiblich";"Osteuropa: Teil ehem. SU, GUS";"Ausländer";2502
"2014";"weiblich";"Südosteuropa (2016 ff.)";"Ausländer";339
"2014";"weiblich";"Westeuropa: EU-Länder";"Ausländer";715
"2014";"weiblich";"Westeuropa: Nicht-EU-Länder";"Ausländer";71
"2014";"weiblich";"Nordafrika (2016 ff.)";"Ausländer";189
"2014";"weiblich";"Mittel- und Südafrika (2016 ff.)";"Ausländer";201
"2014";"weiblich";"Zentralasien (2016 ff.)";"Ausländer";234
"2014";"weiblich";"Vorder- und Westasien (2016 ff.)";"Ausländer";588
"2014";"weiblich";"Südasien (2016 ff.)";"Ausländer";505
"2014";"weiblich";"Ostasien (2016 ff.)";"Ausländer";1420
"2014";"weiblich";"Südostasien (2016 ff.)";"Ausländer";1114
"2014";"weiblich";"Nordamerika (2016 ff.)";"Ausländer";309
"2014";"weiblich";"Mittel- und Südamerika (2016 ff.)";"Ausländer";456
"2014";"weiblich";"Pazifikraum (2016 ff.)";"Ausländer";36
"2014";"weiblich";"Sonstige und ungeklärt (2016 ff.)";"Ausländer";61
"2014";"weiblich";"BRD: 000 und 020";"Deutsche ohne Migrationshintergrund";250956
"2014";"weiblich";"BRD: 000 und 020";"Deutsche mit Migrationshintergrund";9767
