"Jahr";"Geschlecht";"Bezugsland (M03 aus MigraPro)";"Migrationshintergrund M2 (aggregiert)";"Anzahl Einwohner"
"2017";"männlich";"Südeuropa (Italien, Vatikan, San Marino, Malta -  2016 ff.)";"Ausländer";708
"2017";"männlich";"Südeuropa (Griechenland, Zypern - 2016 ff.)";"Ausländer";359
"2017";"männlich";"Südeuropa: Türkei 163";"Ausländer";537
"2017";"männlich";"Südeuropa (Spanien, Portugal, Andora - 2016 ff.)";"Ausländer";708
"2017";"männlich";"Osteuropa: EU-Beitrittsländer 2004";"Ausländer";2296
"2017";"männlich";"Osteuropa: EU-Beitrittsländer 2007";"Ausländer";1217
"2017";"männlich";"Osteuropa: Teil ehem. SU, GUS";"Ausländer";1746
"2017";"männlich";"Südosteuropa (2016 ff.)";"Ausländer";593
"2017";"männlich";"Westeuropa: EU-Länder";"Ausländer";1134
"2017";"männlich";"Westeuropa: Nicht-EU-Länder";"Ausländer";90
"2017";"männlich";"Nordafrika (2016 ff.)";"Ausländer";795
"2017";"männlich";"Mittel- und Südafrika (2016 ff.)";"Ausländer";575
"2017";"männlich";"Zentralasien (2016 ff.)";"Ausländer";149
"2017";"männlich";"Vorder- und Westasien (2016 ff.)";"Ausländer";2882
"2017";"männlich";"Südasien (2016 ff.)";"Ausländer";1860
"2017";"männlich";"Ostasien (2016 ff.)";"Ausländer";1949
"2017";"männlich";"Südostasien (2016 ff.)";"Ausländer";899
"2017";"männlich";"Nordamerika (2016 ff.)";"Ausländer";378
"2017";"männlich";"Mittel- und Südamerika (2016 ff.)";"Ausländer";607
"2017";"männlich";"Pazifikraum (2016 ff.)";"Ausländer";53
"2017";"männlich";"Sonstige und ungeklärt (2016 ff.)";"Ausländer";3962
"2017";"männlich";"BRD: 000 und 020";"Deutsche ohne Migrationshintergrund";243713
"2017";"männlich";"BRD: 000 und 020";"Deutsche mit Migrationshintergrund";10848
"2017";"weiblich";"Südeuropa (Italien, Vatikan, San Marino, Malta -  2016 ff.)";"Ausländer";470
"2017";"weiblich";"Südeuropa (Griechenland, Zypern - 2016 ff.)";"Ausländer";272
"2017";"weiblich";"Südeuropa: Türkei 163";"Ausländer";330
"2017";"weiblich";"Südeuropa (Spanien, Portugal, Andora - 2016 ff.)";"Ausländer";471
"2017";"weiblich";"Osteuropa: EU-Beitrittsländer 2004";"Ausländer";2458
"2017";"weiblich";"Osteuropa: EU-Beitrittsländer 2007";"Ausländer";875
"2017";"weiblich";"Osteuropa: Teil ehem. SU, GUS";"Ausländer";2773
"2017";"weiblich";"Südosteuropa (2016 ff.)";"Ausländer";395
"2017";"weiblich";"Westeuropa: EU-Länder";"Ausländer";779
"2017";"weiblich";"Westeuropa: Nicht-EU-Länder";"Ausländer";66
"2017";"weiblich";"Nordafrika (2016 ff.)";"Ausländer";312
"2017";"weiblich";"Mittel- und Südafrika (2016 ff.)";"Ausländer";224
"2017";"weiblich";"Zentralasien (2016 ff.)";"Ausländer";232
"2017";"weiblich";"Vorder- und Westasien (2016 ff.)";"Ausländer";1670
"2017";"weiblich";"Südasien (2016 ff.)";"Ausländer";815
"2017";"weiblich";"Ostasien (2016 ff.)";"Ausländer";1698
"2017";"weiblich";"Südostasien (2016 ff.)";"Ausländer";1163
"2017";"weiblich";"Nordamerika (2016 ff.)";"Ausländer";329
"2017";"weiblich";"Mittel- und Südamerika (2016 ff.)";"Ausländer";551
"2017";"weiblich";"Pazifikraum (2016 ff.)";"Ausländer";41
"2017";"weiblich";"Sonstige und ungeklärt (2016 ff.)";"Ausländer";1733
"2017";"weiblich";"BRD: 000 und 020";"Deutsche ohne Migrationshintergrund";250334
"2017";"weiblich";"BRD: 000 und 020";"Deutsche mit Migrationshintergrund";11049
