"Jahr";"Quartal";"Monat";"Wirtschaftszweig 2-Steller";"Auftragseingang insgesamt (in 1000 Euro)";"Auftragseingang Ausland (in 1000 Euro)";"Auftragseingang Eurozone (in 1000 Euro)";"Umsatz insgesamt aus Auftragseingang (in 1000 Euro)";"Umsazu Ausland aus Auftragseingang (in 1000 Euro)";"Umsatz Eurozone aus Auftragseingang (in 1000 Euro)"
"2014";"3. Quartal";"07";"13-Herst. von Textilien";0;0;0;0;0;0
"2014";"3. Quartal";"07";"20-Herst. von chemischen Erzeugnissen";8907;3246;8100;1731;3184;1964
"2014";"3. Quartal";"07";"21-Herst. von pharmazeutischen Erzeugnissen";0;0;15898;0;0;0
"2014";"3. Quartal";"07";"25-Herst. von Metallerzeugnissen";9463;806;9580;531;460;305
"2014";"3. Quartal";"07";"26-Herst. DVgeräten,elektron.+opt. Erzeugnissen";203060;162088;215361;145624;166663;152392
"2014";"3. Quartal";"07";"27-Herst. von elektrischen Ausrüstungen";23292;8583;18414;2038;6238;1458
"2014";"3. Quartal";"07";"28-Maschinenbau";50142;30188;28139;5150;14508;2393
"2014";"3. Quartal";"07";"29-Herst. von Kraftwagen und Kraftwagenteilen";0;0;0;0;0;0
"2014";"3. Quartal";"07";"30-Sonstiger Fahrzeugbau";0;0;0;0;0;0
"2014";"3. Quartal";"08";"";318235;214863;371941;158139;275432;233404
"2014";"3. Quartal";"08";"13-Herst. von Textilien";0;0;0;0;0;0
"2014";"3. Quartal";"08";"20-Herst. von chemischen Erzeugnissen";7710;2939;8208;1624;3335;1498
"2014";"3. Quartal";"08";"21-Herst. von pharmazeutischen Erzeugnissen";15663;0;15384;0;0;0
"2014";"3. Quartal";"08";"25-Herst. von Metallerzeugnissen";11012;622;8032;334;528;376
"2014";"3. Quartal";"08";"26-Herst. DVgeräten,elektron.+opt. Erzeugnissen";191166;158011;266727;140861;0;0
"2014";"3. Quartal";"08";"27-Herst. von elektrischen Ausrüstungen";15759;2948;18540;1065;7100;1645
"2014";"3. Quartal";"08";"28-Maschinenbau";34555;14997;30819;2974;18064;2564
"2014";"3. Quartal";"08";"29-Herst. von Kraftwagen und Kraftwagenteilen";0;0;0;0;0;0
"2014";"3. Quartal";"08";"30-Sonstiger Fahrzeugbau";0;0;0;0;0;0
"2014";"3. Quartal";"09";"";399057;273730;907583;173854;774125;214547
"2014";"3. Quartal";"09";"13-Herst. von Textilien";0;0;0;0;0;0
"2014";"3. Quartal";"09";"20-Herst. von chemischen Erzeugnissen";9916;4240;8496;2536;3068;1735
"2014";"3. Quartal";"09";"21-Herst. von pharmazeutischen Erzeugnissen";14185;0;16027;0;0;0
"2014";"3. Quartal";"09";"25-Herst. von Metallerzeugnissen";9180;647;9561;401;791;615
"2014";"3. Quartal";"09";"26-Herst. DVgeräten,elektron.+opt. Erzeugnissen";203204;165160;249594;146699;0;0
"2014";"3. Quartal";"09";"27-Herst. von elektrischen Ausrüstungen";28343;16334;33815;5046;13317;1858
"2014";"3. Quartal";"09";"28-Maschinenbau";79316;47448;0;3170;0;0
"2014";"3. Quartal";"09";"29-Herst. von Kraftwagen und Kraftwagenteilen";0;0;0;0;0;0
"2014";"3. Quartal";"09";"30-Sonstiger Fahrzeugbau";0;0;0;0;0;0
"2014";"4. Quartal";"10";"";370927;264879;394966;198078;286626;224454
"2014";"4. Quartal";"10";"13-Herst. von Textilien";0;0;0;0;0;0
"2014";"4. Quartal";"10";"20-Herst. von chemischen Erzeugnissen";10206;3707;10078;1161;3783;1357
"2014";"4. Quartal";"10";"21-Herst. von pharmazeutischen Erzeugnissen";16756;0;15583;0;0;0
"2014";"4. Quartal";"10";"25-Herst. von Metallerzeugnissen";8830;586;10371;329;0;0
"2014";"4. Quartal";"10";"26-Herst. DVgeräten,elektron.+opt. Erzeugnissen";237195;195622;259355;177930;218956;203482
"2014";"4. Quartal";"10";"27-Herst. von elektrischen Ausrüstungen";21072;5931;30842;2028;0;0
"2014";"4. Quartal";"10";"28-Maschinenbau";36442;23711;36262;3873;21300;3040
"2014";"4. Quartal";"10";"29-Herst. von Kraftwagen und Kraftwagenteilen";0;0;0;0;0;0
"2014";"4. Quartal";"10";"30-Sonstiger Fahrzeugbau";0;0;0;0;0;0
"2014";"4. Quartal";"11";"";390204;276839;308354;201789;196764;125656
"2014";"4. Quartal";"11";"13-Herst. von Textilien";0;0;0;0;0;0
"2014";"4. Quartal";"11";"20-Herst. von chemischen Erzeugnissen";8888;3254;8397;2132;3367;1628
"2014";"4. Quartal";"11";"21-Herst. von pharmazeutischen Erzeugnissen";16187;0;17817;0;0;0
"2014";"4. Quartal";"11";"25-Herst. von Metallerzeugnissen";9666;846;9968;637;1067;779
"2014";"4. Quartal";"11";"26-Herst. DVgeräten,elektron.+opt. Erzeugnissen";237193;196539;160272;182303;119785;104223
"2014";"4. Quartal";"11";"27-Herst. von elektrischen Ausrüstungen";35285;20684;20865;690;8477;1201
"2014";"4. Quartal";"11";"28-Maschinenbau";42735;24514;48315;5845;35011;4264
"2014";"4. Quartal";"11";"29-Herst. von Kraftwagen und Kraftwagenteilen";0;0;0;0;0;0
"2014";"4. Quartal";"11";"30-Sonstiger Fahrzeugbau";0;0;0;0;0;0
"2014";"4. Quartal";"12";"";337446;224635;326184;137287;206188;98865
"2014";"4. Quartal";"12";"13-Herst. von Textilien";0;0;0;0;0;0
"2014";"4. Quartal";"12";"20-Herst. von chemischen Erzeugnissen";8948;2878;8541;1621;2946;2034
"2014";"4. Quartal";"12";"21-Herst. von pharmazeutischen Erzeugnissen";0;0;16023;0;0;0
"2014";"4. Quartal";"12";"25-Herst. von Metallerzeugnissen";8189;996;14319;459;1707;1481
"2014";"4. Quartal";"12";"26-Herst. DVgeräten,elektron.+opt. Erzeugnissen";171773;135171;136617;118923;100276;74713
"2014";"4. Quartal";"12";"27-Herst. von elektrischen Ausrüstungen";22351;6901;30950;1232;17323;2220
"2014";"4. Quartal";"12";"28-Maschinenbau";48654;22696;73145;3342;49342;3783
"2014";"4. Quartal";"12";"29-Herst. von Kraftwagen und Kraftwagenteilen";0;0;0;0;0;0
"2014";"4. Quartal";"12";"30-Sonstiger Fahrzeugbau";0;0;0;0;0;0
"2015";"1. Quartal";"01";"";358006;234882;166869;332367;216942;156427
"2015";"1. Quartal";"01";"13-Herst. von Textilien";0;0;0;0;0;0
"2015";"1. Quartal";"01";"20-Herst. von chemischen Erzeugnissen";7344;3461;2372;7420;3601;1994
"2015";"1. Quartal";"01";"21-Herst. von pharmazeutischen Erzeugnissen";15963;0;0;17910;0;0
"2015";"1. Quartal";"01";"25-Herst. von Metallerzeugnissen";8815;0;0;8331;0;0
"2015";"1. Quartal";"01";"26-Herst. DVgeräten,elektron.+opt. Erzeugnissen";216921;172050;148065;189195;146286;130430
"2015";"1. Quartal";"01";"27-Herst. von elektrischen Ausrüstungen";28824;8066;1304;26718;16671;3749
"2015";"1. Quartal";"01";"28-Maschinenbau";32928;16938;3262;31926;12425;4174
"2015";"1. Quartal";"01";"29-Herst. von Kraftwagen und Kraftwagenteilen";0;0;0;0;0;0
"2015";"1. Quartal";"01";"30-Sonstiger Fahrzeugbau";0;0;0;0;0;0
"2015";"1. Quartal";"02";"";331432;221313;166255;508298;401376;320310
"2015";"1. Quartal";"02";"13-Herst. von Textilien";0;0;0;0;0;0
"2015";"1. Quartal";"02";"20-Herst. von chemischen Erzeugnissen";8842;3513;1874;7526;3203;1981
"2015";"1. Quartal";"02";"21-Herst. von pharmazeutischen Erzeugnissen";18707;0;0;20839;0;0
"2015";"1. Quartal";"02";"25-Herst. von Metallerzeugnissen";8941;764;406;8674;581;392
"2015";"1. Quartal";"02";"26-Herst. DVgeräten,elektron.+opt. Erzeugnissen";193508;156649;140983;339840;0;0
"2015";"1. Quartal";"02";"27-Herst. von elektrischen Ausrüstungen";19205;5328;778;20946;11493;3398
"2015";"1. Quartal";"02";"28-Maschinenbau";30487;15723;6190;60121;46110;10256
"2015";"1. Quartal";"02";"29-Herst. von Kraftwagen und Kraftwagenteilen";0;0;0;0;0;0
"2015";"1. Quartal";"02";"30-Sonstiger Fahrzeugbau";0;0;0;0;0;0
"2015";"1. Quartal";"03";"";373591;248493;166562;664734;538368;462032
"2015";"1. Quartal";"03";"13-Herst. von Textilien";0;0;0;0;0;0
"2015";"1. Quartal";"03";"20-Herst. von chemischen Erzeugnissen";9564;4119;2892;9255;3266;1799
"2015";"1. Quartal";"03";"21-Herst. von pharmazeutischen Erzeugnissen";15078;0;0;17889;0;0
"2015";"1. Quartal";"03";"25-Herst. von Metallerzeugnissen";13287;1596;1410;10066;1060;858
"2015";"1. Quartal";"03";"26-Herst. DVgeräten,elektron.+opt. Erzeugnissen";195838;160485;143623;496602;0;0
"2015";"1. Quartal";"03";"27-Herst. von elektrischen Ausrüstungen";33948;0;0;27046;0;0
"2015";"1. Quartal";"03";"28-Maschinenbau";55658;25966;7954;45751;28495;3391
"2015";"1. Quartal";"03";"29-Herst. von Kraftwagen und Kraftwagenteilen";0;0;0;0;0;0
"2015";"1. Quartal";"03";"30-Sonstiger Fahrzeugbau";0;0;0;0;0;0
"2015";"2. Quartal";"04";"";421438;217373;113490;356004;185507;104850
"2015";"2. Quartal";"04";"13-Herst. von Textilien";0;0;0;0;0;0
"2015";"2. Quartal";"04";"20-Herst. von chemischen Erzeugnissen";7755;2918;2031;7724;3184;2047
"2015";"2. Quartal";"04";"21-Herst. von pharmazeutischen Erzeugnissen";17900;0;0;18864;0;0
"2015";"2. Quartal";"04";"25-Herst. von Metallerzeugnissen";9395;663;539;8615;975;741
"2015";"2. Quartal";"04";"26-Herst. DVgeräten,elektron.+opt. Erzeugnissen";225508;110624;89599;197058;103038;86879
"2015";"2. Quartal";"04";"27-Herst. von elektrischen Ausrüstungen";18812;8193;2823;24723;12684;1148
"2015";"2. Quartal";"04";"28-Maschinenbau";92073;62351;6305;49236;33487;2134
"2015";"2. Quartal";"04";"29-Herst. von Kraftwagen und Kraftwagenteilen";0;0;0;0;0;0
"2015";"2. Quartal";"04";"30-Sonstiger Fahrzeugbau";0;0;0;0;0;0
"2015";"2. Quartal";"05";"";414040;243859;174625;372128;190081;132943
"2015";"2. Quartal";"05";"13-Herst. von Textilien";0;0;0;0;0;0
"2015";"2. Quartal";"05";"20-Herst. von chemischen Erzeugnissen";8450;4271;2108;7609;3260;1878
"2015";"2. Quartal";"05";"21-Herst. von pharmazeutischen Erzeugnissen";18701;0;0;20862;0;0
"2015";"2. Quartal";"05";"25-Herst. von Metallerzeugnissen";8327;1637;1550;7753;798;741
"2015";"2. Quartal";"05";"26-Herst. DVgeräten,elektron.+opt. Erzeugnissen";275871;0;0;235803;0;0
"2015";"2. Quartal";"05";"27-Herst. von elektrischen Ausrüstungen";15594;5384;1472;19902;8189;867
"2015";"2. Quartal";"05";"28-Maschinenbau";41744;29439;4675;40217;23635;4106
"2015";"2. Quartal";"05";"29-Herst. von Kraftwagen und Kraftwagenteilen";0;0;0;0;0;0
"2015";"2. Quartal";"05";"30-Sonstiger Fahrzeugbau";0;0;0;0;0;0
"2015";"2. Quartal";"06";"";400737;256585;170475;505815;354023;279166
"2015";"2. Quartal";"06";"13-Herst. von Textilien";0;0;0;0;0;0
"2015";"2. Quartal";"06";"20-Herst. von chemischen Erzeugnissen";8402;3050;1965;8656;3271;2049
"2015";"2. Quartal";"06";"21-Herst. von pharmazeutischen Erzeugnissen";17682;0;0;16903;0;0
"2015";"2. Quartal";"06";"25-Herst. von Metallerzeugnissen";10449;0;0;13136;0;0
"2015";"2. Quartal";"06";"26-Herst. DVgeräten,elektron.+opt. Erzeugnissen";249950;0;0;349793;0;0
"2015";"2. Quartal";"06";"27-Herst. von elektrischen Ausrüstungen";27274;0;0;26321;0;0
"2015";"2. Quartal";"06";"28-Maschinenbau";52035;35083;8478;44490;29592;7083
"2015";"2. Quartal";"06";"29-Herst. von Kraftwagen und Kraftwagenteilen";0;0;0;0;0;0
"2015";"2. Quartal";"06";"30-Sonstiger Fahrzeugbau";0;0;0;0;0;0
"2015";"3. Quartal";"07";"";445761;266275;206928;342795;180726;119587
"2015";"3. Quartal";"07";"13-Herst. von Textilien";0;0;0;0;0;0
"2015";"3. Quartal";"07";"20-Herst. von chemischen Erzeugnissen";7994;2889;2171;7901;2891;2137
"2015";"3. Quartal";"07";"21-Herst. von pharmazeutischen Erzeugnissen";15801;0;0;19440;0;0
"2015";"3. Quartal";"07";"25-Herst. von Metallerzeugnissen";12405;0;0;11243;0;0
"2015";"3. Quartal";"07";"26-Herst. DVgeräten,elektron.+opt. Erzeugnissen";283292;0;0;197947;0;0
"2015";"3. Quartal";"07";"27-Herst. von elektrischen Ausrüstungen";13894;4974;1528;25647;15380;4498
"2015";"3. Quartal";"07";"28-Maschinenbau";70902;25934;10697;44512;30102;2894
"2015";"3. Quartal";"07";"29-Herst. von Kraftwagen und Kraftwagenteilen";0;0;0;0;0;0
"2015";"3. Quartal";"07";"30-Sonstiger Fahrzeugbau";0;0;0;0;0;0
"2015";"3. Quartal";"08";"";417627;264954;188757;353156;196531;117101
"2015";"3. Quartal";"08";"13-Herst. von Textilien";0;0;0;0;0;0
"2015";"3. Quartal";"08";"20-Herst. von chemischen Erzeugnissen";8040;2748;1983;8535;2863;1944
"2015";"3. Quartal";"08";"21-Herst. von pharmazeutischen Erzeugnissen";17398;0;0;20455;0;0
"2015";"3. Quartal";"08";"25-Herst. von Metallerzeugnissen";10983;0;0;8605;0;0
"2015";"3. Quartal";"08";"26-Herst. DVgeräten,elektron.+opt. Erzeugnissen";266566;0;0;192630;0;0
"2015";"3. Quartal";"08";"27-Herst. von elektrischen Ausrüstungen";24442;16150;4474;29035;15858;5121
"2015";"3. Quartal";"08";"28-Maschinenbau";41613;26431;1584;69408;53718;5470
"2015";"3. Quartal";"08";"29-Herst. von Kraftwagen und Kraftwagenteilen";0;0;0;0;0;0
"2015";"3. Quartal";"08";"30-Sonstiger Fahrzeugbau";0;0;0;0;0;0
"2015";"3. Quartal";"09";"";427016;264308;195385;506328;345436;256116
"2015";"3. Quartal";"09";"13-Herst. von Textilien";0;0;0;0;0;0
"2015";"3. Quartal";"09";"20-Herst. von chemischen Erzeugnissen";9408;3337;2539;8960;3215;2435
"2015";"3. Quartal";"09";"21-Herst. von pharmazeutischen Erzeugnissen";18836;0;0;19902;0;0
"2015";"3. Quartal";"09";"25-Herst. von Metallerzeugnissen";12685;1013;799;9753;1136;945
"2015";"3. Quartal";"09";"26-Herst. DVgeräten,elektron.+opt. Erzeugnissen";265843;0;0;333250;0;0
"2015";"3. Quartal";"09";"27-Herst. von elektrischen Ausrüstungen";26567;10660;3759;38183;21589;948
"2015";"3. Quartal";"09";"28-Maschinenbau";41824;26071;4369;62634;44023;4290
"2015";"3. Quartal";"09";"29-Herst. von Kraftwagen und Kraftwagenteilen";0;0;0;0;0;0
"2015";"3. Quartal";"09";"30-Sonstiger Fahrzeugbau";0;0;0;0;0;0
"2015";"4. Quartal";"10";"";392671;239404;149292;309332;149276;96250
"2015";"4. Quartal";"10";"13-Herst. von Textilien";0;0;0;0;0;0
"2015";"4. Quartal";"10";"20-Herst. von chemischen Erzeugnissen";8450;3263;1906;9077;3446;2181
"2015";"4. Quartal";"10";"21-Herst. von pharmazeutischen Erzeugnissen";18271;0;0;22022;0;0
"2015";"4. Quartal";"10";"25-Herst. von Metallerzeugnissen";9867;1200;985;9833;0;0
"2015";"4. Quartal";"10";"26-Herst. DVgeräten,elektron.+opt. Erzeugnissen";227846;0;0;168732;0;0
"2015";"4. Quartal";"10";"27-Herst. von elektrischen Ausrüstungen";14458;7391;1920;21625;11037;4818
"2015";"4. Quartal";"10";"28-Maschinenbau";69594;50271;7521;39914;22099;4319
"2015";"4. Quartal";"10";"29-Herst. von Kraftwagen und Kraftwagenteilen";0;0;0;0;0;0
"2015";"4. Quartal";"10";"30-Sonstiger Fahrzeugbau";0;0;0;0;0;0
"2015";"4. Quartal";"11";"";387865;243560;156203;404825;255674;182804
"2015";"4. Quartal";"11";"13-Herst. von Textilien";0;0;0;0;0;0
"2015";"4. Quartal";"11";"20-Herst. von chemischen Erzeugnissen";9290;2658;1998;8524;2592;1900
"2015";"4. Quartal";"11";"21-Herst. von pharmazeutischen Erzeugnissen";19783;0;0;18413;0;0
"2015";"4. Quartal";"11";"25-Herst. von Metallerzeugnissen";9091;1322;1111;11413;918;632
"2015";"4. Quartal";"11";"26-Herst. DVgeräten,elektron.+opt. Erzeugnissen";217249;0;0;248022;0;0
"2015";"4. Quartal";"11";"27-Herst. von elektrischen Ausrüstungen";24799;13829;1009;25784;11466;2785
"2015";"4. Quartal";"11";"28-Maschinenbau";60479;48731;12226;52280;36875;4446
"2015";"4. Quartal";"11";"29-Herst. von Kraftwagen und Kraftwagenteilen";0;0;0;0;0;0
"2015";"4. Quartal";"11";"30-Sonstiger Fahrzeugbau";0;0;0;0;0;0
"2015";"4. Quartal";"12";"";439295;234089;146121;604650;440428;358438
"2015";"4. Quartal";"12";"13-Herst. von Textilien";0;0;0;0;0;0
"2015";"4. Quartal";"12";"20-Herst. von chemischen Erzeugnissen";6495;2751;1948;7630;3029;2147
"2015";"4. Quartal";"12";"21-Herst. von pharmazeutischen Erzeugnissen";19007;0;0;19558;0;0
"2015";"4. Quartal";"12";"25-Herst. von Metallerzeugnissen";15269;1189;464;10285;791;577
"2015";"4. Quartal";"12";"26-Herst. DVgeräten,elektron.+opt. Erzeugnissen";225730;0;0;0;0;0
"2015";"4. Quartal";"12";"27-Herst. von elektrischen Ausrüstungen";26436;14845;4002;34015;0;0
"2015";"4. Quartal";"12";"28-Maschinenbau";59864;44128;3102;69989;41188;4729
"2015";"4. Quartal";"12";"29-Herst. von Kraftwagen und Kraftwagenteilen";0;0;0;0;0;0
"2015";"4. Quartal";"12";"30-Sonstiger Fahrzeugbau";0;0;0;0;0;0
"2016";"1. Quartal";"01";"";411962;254669;157246;279484;128804;78637
"2016";"1. Quartal";"01";"13-Herst. von Textilien";0;0;0;0;0;0
"2016";"1. Quartal";"01";"20-Herst. von chemischen Erzeugnissen";6363;2921;1824;5593;2636;1753
"2016";"1. Quartal";"01";"21-Herst. von pharmazeutischen Erzeugnissen";23967;0;0;25896;0;0
"2016";"1. Quartal";"01";"25-Herst. von Metallerzeugnissen";8630;880;605;7503;1332;880
"2016";"1. Quartal";"01";"26-Herst. DVgeräten,elektron.+opt. Erzeugnissen";253550;162434;132989;155592;68472;53615
"2016";"1. Quartal";"01";"27-Herst. von elektrischen Ausrüstungen";24690;10872;795;20959;9571;973
"2016";"1. Quartal";"01";"28-Maschinenbau";48874;35296;2235;26435;16275;2581
"2016";"1. Quartal";"01";"29-Herst. von Kraftwagen und Kraftwagenteilen";0;0;0;0;0;0
"2016";"1. Quartal";"01";"30-Sonstiger Fahrzeugbau";0;0;0;0;0;0
"2016";"1. Quartal";"02";"";307736;169845;100842;351396;221180;165687
"2016";"1. Quartal";"02";"13-Herst. von Textilien";0;0;0;0;0;0
"2016";"1. Quartal";"02";"20-Herst. von chemischen Erzeugnissen";5985;2273;1749;5814;2576;1792
"2016";"1. Quartal";"02";"21-Herst. von pharmazeutischen Erzeugnissen";24008;0;0;24050;0;0
"2016";"1. Quartal";"02";"25-Herst. von Metallerzeugnissen";12247;988;602;7835;870;677
"2016";"1. Quartal";"02";"26-Herst. DVgeräten,elektron.+opt. Erzeugnissen";152193;85856;72962;218675;0;0
"2016";"1. Quartal";"02";"27-Herst. von elektrischen Ausrüstungen";28459;13259;1509;20318;9829;3655
"2016";"1. Quartal";"02";"28-Maschinenbau";40033;24016;3872;28604;17000;3230
"2016";"1. Quartal";"02";"29-Herst. von Kraftwagen und Kraftwagenteilen";0;0;0;0;0;0
"2016";"1. Quartal";"02";"30-Sonstiger Fahrzeugbau";0;0;0;0;0;0
"2016";"1. Quartal";"03";"";369566;196596;108888;387685;233716;162491
"2016";"1. Quartal";"03";"13-Herst. von Textilien";0;0;0;0;0;0
"2016";"1. Quartal";"03";"20-Herst. von chemischen Erzeugnissen";6412;2771;1855;6247;2492;1692
"2016";"1. Quartal";"03";"21-Herst. von pharmazeutischen Erzeugnissen";24777;0;0;25819;0;0
"2016";"1. Quartal";"03";"25-Herst. von Metallerzeugnissen";16760;1608;1376;10199;1362;1030
"2016";"1. Quartal";"03";"26-Herst. DVgeräten,elektron.+opt. Erzeugnissen";176321;96261;75156;235167;0;0
"2016";"1. Quartal";"03";"27-Herst. von elektrischen Ausrüstungen";25512;8790;2077;21038;9322;1065
"2016";"1. Quartal";"03";"28-Maschinenbau";90743;65596;12153;30833;17732;3396
"2016";"1. Quartal";"03";"29-Herst. von Kraftwagen und Kraftwagenteilen";0;0;0;0;0;0
"2016";"1. Quartal";"03";"30-Sonstiger Fahrzeugbau";0;0;0;0;0;0
"2016";"2. Quartal";"04";"";412645;252015;191678;317078;175258;116691
"2016";"2. Quartal";"04";"13-Herst. von Textilien";0;0;0;0;0;0
"2016";"2. Quartal";"04";"20-Herst. von chemischen Erzeugnissen";0;0;0;5932;2446;1754
"2016";"2. Quartal";"04";"21-Herst. von pharmazeutischen Erzeugnissen";23239;0;0;25300;0;0
"2016";"2. Quartal";"04";"25-Herst. von Metallerzeugnissen";9465;1932;1646;8212;1220;813
"2016";"2. Quartal";"04";"26-Herst. DVgeräten,elektron.+opt. Erzeugnissen";267594;0;0;186702;0;0
