"Jahr";"Geschlecht";"Bezugsland (M03 aus MigraPro)";"Migrationshintergrund M2 (aggregiert)";"Anzahl Einwohner"
"2015";"männlich";"Südeuropa (Italien, Vatikan, San Marino, Malta -  2016 ff.)";"Ausländer";616
"2015";"männlich";"Südeuropa (Griechenland, Zypern - 2016 ff.)";"Ausländer";350
"2015";"männlich";"Südeuropa: Türkei 163";"Ausländer";534
"2015";"männlich";"Südeuropa (Spanien, Portugal, Andora - 2016 ff.)";"Ausländer";675
"2015";"männlich";"Osteuropa: EU-Beitrittsländer 2004";"Ausländer";1794
"2015";"männlich";"Osteuropa: EU-Beitrittsländer 2007";"Ausländer";897
"2015";"männlich";"Osteuropa: Teil ehem. SU, GUS";"Ausländer";1693
"2015";"männlich";"Südosteuropa (2016 ff.)";"Ausländer";702
"2015";"männlich";"Westeuropa: EU-Länder";"Ausländer";1051
"2015";"männlich";"Westeuropa: Nicht-EU-Länder";"Ausländer";89
"2015";"männlich";"Nordafrika (2016 ff.)";"Ausländer";851
"2015";"männlich";"Mittel- und Südafrika (2016 ff.)";"Ausländer";601
"2015";"männlich";"Zentralasien (2016 ff.)";"Ausländer";149
"2015";"männlich";"Vorder- und Westasien (2016 ff.)";"Ausländer";2333
"2015";"männlich";"Südasien (2016 ff.)";"Ausländer";1917
"2015";"männlich";"Ostasien (2016 ff.)";"Ausländer";1699
"2015";"männlich";"Südostasien (2016 ff.)";"Ausländer";916
"2015";"männlich";"Nordamerika (2016 ff.)";"Ausländer";360
"2015";"männlich";"Mittel- und Südamerika (2016 ff.)";"Ausländer";563
"2015";"männlich";"Pazifikraum (2016 ff.)";"Ausländer";45
"2015";"männlich";"Sonstige und ungeklärt (2016 ff.)";"Ausländer";1532
"2015";"männlich";"BRD: 000 und 020";"Deutsche ohne Migrationshintergrund";243677
"2015";"männlich";"BRD: 000 und 020";"Deutsche mit Migrationshintergrund";10012
"2015";"weiblich";"Südeuropa (Italien, Vatikan, San Marino, Malta -  2016 ff.)";"Ausländer";407
"2015";"weiblich";"Südeuropa (Griechenland, Zypern - 2016 ff.)";"Ausländer";247
"2015";"weiblich";"Südeuropa: Türkei 163";"Ausländer";304
"2015";"weiblich";"Südeuropa (Spanien, Portugal, Andora - 2016 ff.)";"Ausländer";470
"2015";"weiblich";"Osteuropa: EU-Beitrittsländer 2004";"Ausländer";2211
"2015";"weiblich";"Osteuropa: EU-Beitrittsländer 2007";"Ausländer";727
"2015";"weiblich";"Osteuropa: Teil ehem. SU, GUS";"Ausländer";2632
"2015";"weiblich";"Südosteuropa (2016 ff.)";"Ausländer";466
"2015";"weiblich";"Westeuropa: EU-Länder";"Ausländer";684
"2015";"weiblich";"Westeuropa: Nicht-EU-Länder";"Ausländer";68
"2015";"weiblich";"Nordafrika (2016 ff.)";"Ausländer";231
"2015";"weiblich";"Mittel- und Südafrika (2016 ff.)";"Ausländer";250
"2015";"weiblich";"Zentralasien (2016 ff.)";"Ausländer";226
"2015";"weiblich";"Vorder- und Westasien (2016 ff.)";"Ausländer";900
"2015";"weiblich";"Südasien (2016 ff.)";"Ausländer";618
"2015";"weiblich";"Ostasien (2016 ff.)";"Ausländer";1524
"2015";"weiblich";"Südostasien (2016 ff.)";"Ausländer";1131
"2015";"weiblich";"Nordamerika (2016 ff.)";"Ausländer";310
"2015";"weiblich";"Mittel- und Südamerika (2016 ff.)";"Ausländer";496
"2015";"weiblich";"Pazifikraum (2016 ff.)";"Ausländer";30
"2015";"weiblich";"Sonstige und ungeklärt (2016 ff.)";"Ausländer";511
"2015";"weiblich";"BRD: 000 und 020";"Deutsche ohne Migrationshintergrund";251124
"2015";"weiblich";"BRD: 000 und 020";"Deutsche mit Migrationshintergrund";10177
