Jahr,Stadtraum,Gebäudeanzahl,Anzahl Wohnungen
1996,"04 Leipziger Vorstadt, Pieschen",6,22
1996,"05 Mickten, Kaditz, Trachau",9,28
1996,06 StB Klotzsche und nördliche OS,6,11
1996,07 StB Loschwitz und OS Schönfeld-Weißig,16,31
1996,"08 Blasewitz, Striesen",15,54
1996,"09 Tolkewitz, Seidnitz, Gruna",2,5
1996,10 StB Leuben,5,13
1996,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",1,2
1996,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",8,26
1996,"13 Südvorstadt, Zschertnitz",1,2
1996,"14 Mockritz, Coschütz, Plauen",5,19
1996,"15 Cotta, Löbtau, Naußlitz, Dölzschen",12,47
1996,17 Briesnitz und westliche OS,5,24
1997,01 StB Altstadt ohne Johannstadt,1,13
1997,03 StB Neustadt ohne Leipziger Vorstadt,5,9
1997,"04 Leipziger Vorstadt, Pieschen",9,27
1997,"05 Mickten, Kaditz, Trachau",1,1
1997,06 StB Klotzsche und nördliche OS,3,8
1997,07 StB Loschwitz und OS Schönfeld-Weißig,13,26
1997,"08 Blasewitz, Striesen",9,55
1997,"09 Tolkewitz, Seidnitz, Gruna",2,7
1997,10 StB Leuben,5,9
1997,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",9,25
1997,"13 Südvorstadt, Zschertnitz",2,4
1997,"14 Mockritz, Coschütz, Plauen",5,6
1997,"15 Cotta, Löbtau, Naußlitz, Dölzschen",7,32
1997,17 Briesnitz und westliche OS,3,9
1998,03 StB Neustadt ohne Leipziger Vorstadt,4,12
1998,"04 Leipziger Vorstadt, Pieschen",4,7
1998,"05 Mickten, Kaditz, Trachau",7,26
1998,06 StB Klotzsche und nördliche OS,6,6
1998,07 StB Loschwitz und OS Schönfeld-Weißig,4,4
1998,"08 Blasewitz, Striesen",5,17
1998,"09 Tolkewitz, Seidnitz, Gruna",1,6
1998,10 StB Leuben,10,23
1998,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",1,1
1998,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",7,14
1998,"14 Mockritz, Coschütz, Plauen",2,3
1998,"15 Cotta, Löbtau, Naußlitz, Dölzschen",4,14
1998,17 Briesnitz und westliche OS,2,2
1999,03 StB Neustadt ohne Leipziger Vorstadt,5,31
1999,"04 Leipziger Vorstadt, Pieschen",7,40
1999,"05 Mickten, Kaditz, Trachau",3,7
1999,06 StB Klotzsche und nördliche OS,9,19
1999,07 StB Loschwitz und OS Schönfeld-Weißig,7,14
1999,"08 Blasewitz, Striesen",14,37
1999,"09 Tolkewitz, Seidnitz, Gruna",2,2
1999,10 StB Leuben,5,12
1999,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",6,24
1999,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",3,23
1999,"13 Südvorstadt, Zschertnitz",1,1
1999,"14 Mockritz, Coschütz, Plauen",2,2
1999,"15 Cotta, Löbtau, Naußlitz, Dölzschen",11,31
1999,17 Briesnitz und westliche OS,5,19
2000,01 StB Altstadt ohne Johannstadt,6,55
2000,03 StB Neustadt ohne Leipziger Vorstadt,9,30
2000,"04 Leipziger Vorstadt, Pieschen",5,29
2000,"05 Mickten, Kaditz, Trachau",3,7
2000,06 StB Klotzsche und nördliche OS,5,11
2000,07 StB Loschwitz und OS Schönfeld-Weißig,11,16
2000,"08 Blasewitz, Striesen",4,10
2000,"09 Tolkewitz, Seidnitz, Gruna",6,6
2000,10 StB Leuben,6,25
2000,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",6,20
2000,"13 Südvorstadt, Zschertnitz",1,4
2000,"14 Mockritz, Coschütz, Plauen",11,31
2000,"15 Cotta, Löbtau, Naußlitz, Dölzschen",9,25
2000,17 Briesnitz und westliche OS,10,19
2001,01 StB Altstadt ohne Johannstadt,2,20
2001,"04 Leipziger Vorstadt, Pieschen",6,23
2001,"05 Mickten, Kaditz, Trachau",3,8
2001,06 StB Klotzsche und nördliche OS,5,7
2001,07 StB Loschwitz und OS Schönfeld-Weißig,4,6
2001,"08 Blasewitz, Striesen",3,7
2001,"09 Tolkewitz, Seidnitz, Gruna",1,3
2001,10 StB Leuben,6,9
2001,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",1,1
2001,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",4,13
2001,"14 Mockritz, Coschütz, Plauen",2,8
2001,"15 Cotta, Löbtau, Naußlitz, Dölzschen",1,1
2001,17 Briesnitz und westliche OS,2,4
2002,01 StB Altstadt ohne Johannstadt,3,8
2002,02 Johannstadt,1,4
2002,03 StB Neustadt ohne Leipziger Vorstadt,6,27
2002,"04 Leipziger Vorstadt, Pieschen",12,44
2002,"05 Mickten, Kaditz, Trachau",4,10
2002,06 StB Klotzsche und nördliche OS,8,9
2002,07 StB Loschwitz und OS Schönfeld-Weißig,5,11
2002,"08 Blasewitz, Striesen",3,7
2002,10 StB Leuben,7,20
2002,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",1,5
2002,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",5,19
2002,"14 Mockritz, Coschütz, Plauen",4,15
2002,"15 Cotta, Löbtau, Naußlitz, Dölzschen",10,65
2002,16 Gorbitz,32,253
2002,17 Briesnitz und westliche OS,5,10
2003,01 StB Altstadt ohne Johannstadt,3,23
2003,03 StB Neustadt ohne Leipziger Vorstadt,1,3
2003,"04 Leipziger Vorstadt, Pieschen",2,3
2003,"05 Mickten, Kaditz, Trachau",4,26
2003,06 StB Klotzsche und nördliche OS,12,15
2003,07 StB Loschwitz und OS Schönfeld-Weißig,7,7
2003,"08 Blasewitz, Striesen",3,5
2003,"09 Tolkewitz, Seidnitz, Gruna",4,5
2003,10 StB Leuben,22,109
2003,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",14,147
2003,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",7,12
2003,"14 Mockritz, Coschütz, Plauen",4,5
2003,"15 Cotta, Löbtau, Naußlitz, Dölzschen",15,93
2003,17 Briesnitz und westliche OS,15,27
2004,01 StB Altstadt ohne Johannstadt,3,29
2004,02 Johannstadt,4,160
2004,03 StB Neustadt ohne Leipziger Vorstadt,4,26
2004,"04 Leipziger Vorstadt, Pieschen",3,15
2004,"05 Mickten, Kaditz, Trachau",1,3
2004,06 StB Klotzsche und nördliche OS,3,4
2004,07 StB Loschwitz und OS Schönfeld-Weißig,19,26
2004,"08 Blasewitz, Striesen",4,7
2004,"09 Tolkewitz, Seidnitz, Gruna",8,63
2004,10 StB Leuben,3,4
2004,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",4,160
2004,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",2,2
2004,"14 Mockritz, Coschütz, Plauen",13,42
2004,"15 Cotta, Löbtau, Naußlitz, Dölzschen",7,27
2004,16 Gorbitz,38,445
2004,17 Briesnitz und westliche OS,9,21
2005,01 StB Altstadt ohne Johannstadt,8,283
2005,02 Johannstadt,2,80
2005,03 StB Neustadt ohne Leipziger Vorstadt,1,13
2005,"04 Leipziger Vorstadt, Pieschen",11,47
2005,"05 Mickten, Kaditz, Trachau",2,2
2005,06 StB Klotzsche und nördliche OS,9,14
2005,07 StB Loschwitz und OS Schönfeld-Weißig,11,26
2005,"08 Blasewitz, Striesen",2,2
2005,10 StB Leuben,3,3
2005,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",22,544
2005,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",7,241
2005,"14 Mockritz, Coschütz, Plauen",5,15
2005,"15 Cotta, Löbtau, Naußlitz, Dölzschen",6,38
2005,16 Gorbitz,10,120
2005,17 Briesnitz und westliche OS,3,5
2006,01 StB Altstadt ohne Johannstadt,2,17
2006,02 Johannstadt,1,1
2006,03 StB Neustadt ohne Leipziger Vorstadt,9,53
2006,"04 Leipziger Vorstadt, Pieschen",3,32
2006,"05 Mickten, Kaditz, Trachau",1,3
2006,06 StB Klotzsche und nördliche OS,4,7
2006,07 StB Loschwitz und OS Schönfeld-Weißig,11,23
2006,"09 Tolkewitz, Seidnitz, Gruna",11,110
2006,10 StB Leuben,25,227
2006,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",1,2
2006,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",2,2
2006,"14 Mockritz, Coschütz, Plauen",1,2
2006,"15 Cotta, Löbtau, Naußlitz, Dölzschen",7,36
2006,16 Gorbitz,30,423
2006,17 Briesnitz und westliche OS,5,8
2007,01 StB Altstadt ohne Johannstadt,2,11
2007,03 StB Neustadt ohne Leipziger Vorstadt,1,1
2007,"04 Leipziger Vorstadt, Pieschen",1,4
2007,"05 Mickten, Kaditz, Trachau",2,2
2007,06 StB Klotzsche und nördliche OS,5,7
2007,07 StB Loschwitz und OS Schönfeld-Weißig,4,7
2007,"08 Blasewitz, Striesen",1,2
2007,"09 Tolkewitz, Seidnitz, Gruna",3,7
2007,10 StB Leuben,2,6
2007,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",30,426
2007,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",31,392
2007,"14 Mockritz, Coschütz, Plauen",2,3
2007,"15 Cotta, Löbtau, Naußlitz, Dölzschen",2,19
2007,16 Gorbitz,16,52
2007,17 Briesnitz und westliche OS,4,6
2008,01 StB Altstadt ohne Johannstadt,1,13
2008,03 StB Neustadt ohne Leipziger Vorstadt,5,31
2008,06 StB Klotzsche und nördliche OS,1,1
2008,07 StB Loschwitz und OS Schönfeld-Weißig,9,18
2008,"09 Tolkewitz, Seidnitz, Gruna",2,9
2008,10 StB Leuben,1,1
2008,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",9,248
2008,"13 Südvorstadt, Zschertnitz",1,208
2008,"14 Mockritz, Coschütz, Plauen",5,36
2008,"15 Cotta, Löbtau, Naußlitz, Dölzschen",7,97
2008,16 Gorbitz,30,268
2008,17 Briesnitz und westliche OS,4,4
2009,03 StB Neustadt ohne Leipziger Vorstadt,1,8
2009,"04 Leipziger Vorstadt, Pieschen",2,8
2009,"05 Mickten, Kaditz, Trachau",1,1
2009,07 StB Loschwitz und OS Schönfeld-Weißig,4,5
2009,"08 Blasewitz, Striesen",4,17
2009,"09 Tolkewitz, Seidnitz, Gruna",1,6
2009,10 StB Leuben,3,88
2009,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",7,247
2009,"14 Mockritz, Coschütz, Plauen",3,9
2009,"15 Cotta, Löbtau, Naußlitz, Dölzschen",3,15
2009,16 Gorbitz,12,89
2010,03 StB Neustadt ohne Leipziger Vorstadt,5,41
2010,"04 Leipziger Vorstadt, Pieschen",2,4
2010,"05 Mickten, Kaditz, Trachau",3,17
2010,06 StB Klotzsche und nördliche OS,3,5
2010,07 StB Loschwitz und OS Schönfeld-Weißig,9,23
2010,"08 Blasewitz, Striesen",1,6
2010,"09 Tolkewitz, Seidnitz, Gruna",7,81
2010,10 StB Leuben,2,2
2010,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",28,420
2010,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",3,5
2010,"14 Mockritz, Coschütz, Plauen",5,12
2010,"15 Cotta, Löbtau, Naußlitz, Dölzschen",1,2
2010,17 Briesnitz und westliche OS,4,13
2011,01 StB Altstadt ohne Johannstadt,2,18
2011,03 StB Neustadt ohne Leipziger Vorstadt,2,3
2011,06 StB Klotzsche und nördliche OS,2,2
2011,07 StB Loschwitz und OS Schönfeld-Weißig,10,14
2011,"08 Blasewitz, Striesen",3,6
2011,10 StB Leuben,5,5
2011,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",22,372
2011,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",16,534
2011,"13 Südvorstadt, Zschertnitz",1,9
2011,"15 Cotta, Löbtau, Naußlitz, Dölzschen",5,24
2011,17 Briesnitz und westliche OS,4,9
2012,02 Johannstadt,3,36
2012,03 StB Neustadt ohne Leipziger Vorstadt,6,32
2012,"04 Leipziger Vorstadt, Pieschen",7,33
2012,"05 Mickten, Kaditz, Trachau",1,5
2012,06 StB Klotzsche und nördliche OS,3,4
2012,07 StB Loschwitz und OS Schönfeld-Weißig,7,10
2012,"08 Blasewitz, Striesen",2,5
2012,"09 Tolkewitz, Seidnitz, Gruna",29,411
2012,10 StB Leuben,4,14
2012,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",6,8
2012,"13 Südvorstadt, Zschertnitz",2,2
2012,"14 Mockritz, Coschütz, Plauen",3,4
2012,"15 Cotta, Löbtau, Naußlitz, Dölzschen",3,7
2012,17 Briesnitz und westliche OS,5,11
2013,01 StB Altstadt ohne Johannstadt,1,1
2013,02 Johannstadt,4,172
2013,03 StB Neustadt ohne Leipziger Vorstadt,1,2
2013,"04 Leipziger Vorstadt, Pieschen",2,19
2013,"05 Mickten, Kaditz, Trachau",1,6
2013,06 StB Klotzsche und nördliche OS,1,6
2013,07 StB Loschwitz und OS Schönfeld-Weißig,6,8
2013,"08 Blasewitz, Striesen",4,17
2013,10 StB Leuben,3,3
2013,"14 Mockritz, Coschütz, Plauen",3,11
2013,"15 Cotta, Löbtau, Naußlitz, Dölzschen",1,1
2014,01 StB Altstadt ohne Johannstadt,2,12
2014,03 StB Neustadt ohne Leipziger Vorstadt,1,1
2014,"04 Leipziger Vorstadt, Pieschen",3,24
2014,06 StB Klotzsche und nördliche OS,4,35
2014,07 StB Loschwitz und OS Schönfeld-Weißig,7,8
2014,"08 Blasewitz, Striesen",3,19
2014,10 StB Leuben,2,6
2014,"14 Mockritz, Coschütz, Plauen",2,4
2014,"15 Cotta, Löbtau, Naußlitz, Dölzschen",2,4
2014,17 Briesnitz und westliche OS,6,19
2015,03 StB Neustadt ohne Leipziger Vorstadt,4,23
2015,"04 Leipziger Vorstadt, Pieschen",1,3
2015,06 StB Klotzsche und nördliche OS,3,3
2015,07 StB Loschwitz und OS Schönfeld-Weißig,2,3
2015,"08 Blasewitz, Striesen",1,2
2015,10 StB Leuben,5,19
2015,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",1,2
2015,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",3,6
2015,"13 Südvorstadt, Zschertnitz",2,7
2015,"14 Mockritz, Coschütz, Plauen",3,5
2015,"15 Cotta, Löbtau, Naußlitz, Dölzschen",2,9
2015,17 Briesnitz und westliche OS,5,11
2016,02 Johannstadt,5,60
2016,"04 Leipziger Vorstadt, Pieschen",1,1
2016,"05 Mickten, Kaditz, Trachau",5,5
2016,06 StB Klotzsche und nördliche OS,2,3
2016,07 StB Loschwitz und OS Schönfeld-Weißig,14,23
2016,"08 Blasewitz, Striesen",1,2
2016,10 StB Leuben,5,6
2016,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",1,1
2016,"13 Südvorstadt, Zschertnitz",1,2
2016,"14 Mockritz, Coschütz, Plauen",3,4
2016,"15 Cotta, Löbtau, Naußlitz, Dölzschen",1,2
2016,16 Gorbitz,2,2
2016,17 Briesnitz und westliche OS,2,2
2017,01 StB Altstadt ohne Johannstadt,1,2
2017,"04 Leipziger Vorstadt, Pieschen",3,7
2017,06 StB Klotzsche und nördliche OS,4,4
2017,07 StB Loschwitz und OS Schönfeld-Weißig,5,7
2017,"08 Blasewitz, Striesen",1,1
2017,10 StB Leuben,2,2
2017,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",1,2
2017,"13 Südvorstadt, Zschertnitz",2,5
2017,"14 Mockritz, Coschütz, Plauen",5,13
2017,"15 Cotta, Löbtau, Naußlitz, Dölzschen",5,13
2017,16 Gorbitz,1,1
2017,17 Briesnitz und westliche OS,1,1
